from_node,to_node
32336206,12784893
32336206,339016297
301841803,187761439
2892088923,5593384415
2892088923,659788
2892088923,1396449287
1426051354,434149497
1426051354,26912118
1426051354,1426051367
658429,4836679335
658429,658464
658429,453482563
658429,8914657805
248380828,248380682
248380828,301832406
163132021,3646191111
163132021,3646191114
163132021,60001702
2626146603,25757771
2626146603,8515209793
2791792365,11841447179
2791792365,11841447177
257819123,43326250
257819123,43326231
665856,563895143
665856,563887684
665856,665860
192308498,192308465
192308498,192308503
192308498,192308520
5438601617,12280620
5438601617,5438601595
12649673,130236108
12649673,14955927
12649673,12649688
12649673,621545471
1396443488,2801734585
1396443488,111887558
1396443488,389379
11970102178,2581809747
11970102178,1284630461
3393611301,1430506662
3393611301,12427920
11273326585,240088666
11273326585,240088639
1430467324,279042305
1430467324,5396467485
67079574,67079571
67079574,671034
53484116,12280622
27688164,27688214
19192123,26413724
19192123,661455
19192123,1427047467
19192123,243480950
1442755,3451120784
1442755,26756133
1442755,195865275
1442755,18940355
12284657,28850808
12284657,2941844024
12284657,301829039
10069486558,104517865
696250337,696250191
3113042611,41173172
3113042611,255425838
4836679335,658464
4836679335,21620584
4238363,335750446
4238363,259573748
4238363,5812350367
26414595,243643704
32475584,32475585
32475584,130158815
32475584,26166033
32475584,130157149
11675303,2975697898
11675303,317494832
321859983,131037743
321859983,131037476
321859983,336142146
25973666,25973665
25973666,26414320
25973666,1410014030
26414332,26414351
26414332,5629129026
26414332,4898446741
26414332,5629129023
355146355,1420144428
29400048,671028
29400048,684995621
29400048,247391980
5438601535,12119423
5438601535,11675301
5438601535,4523227758
1294005414,5300250112
1294005414,3451922921
1294005414,1294005409
1294005414,532751179
196400735,181478091
20299841,20299837
20299841,1415542335
20299841,1294904416
26413724,26413718
26413724,241771992
12119108,659745
12119108,4002584843
12119108,10557731336
12119108,8613842665
12280645,12640060
12280645,19080521
12280645,12280643
1422254055,314505123
1422254055,2368336819
1422254055,456900223
1422254055,12861846727
15413104,15413102
15413104,657350
15413104,657351
661258,241080763
301818034,301818029
3451017457,3451017461
255234993,32334980
255234993,90252277
2837705709,1417058887
2837705709,1130327727
2837705709,1496749462
307478674,10709985869
307478674,10709985867
307478674,15852474
2771294716,6303812
411503314,1396845249
411503314,411503284
440865170,472223536
440865170,11675190
440865170,14653150
42503652,12117926
42503652,1422207311
42503652,247649450
559558171,337429610
559558171,1426048626
240407606,2423191789
240407606,91469713
12428402,11675220
12428402,1396426605
12428287,11675200
12428287,12867381
901716,196201412
901716,192534209
4229545820,4229517045
4229545820,2380689165
241787798,1423594539
241787798,11956065584
20447295,3451922921
20447295,3451922931
20447295,453171574
32336040,278524351
32336040,32336041
32336040,54850104
32336040,32336039
1430068176,19080459
1430068176,12428371
1430068176,1423546560
480606980,480606981
480606980,4043189649
240088626,247691221
240088626,12649666
240088626,26759862
240088626,12649667
1261227677,32335040
1261227677,60790663
1261227677,1261227681
527734964,20299837
527734964,20299832
527734964,20299876
1426048717,1397026917
1426048717,32475580
1426048717,1426048731
344668040,278304759
344668040,914786403
31926608,31926600
31926608,984316091
31926608,31926643
28230869,479669465
28230869,28230647
28230869,28231265
389142086,389142088
389142086,19223901
389142086,600567209
1346905,30977317
1346905,31015271
1346905,4077285429
1261494717,3022827752
1261494717,12270001930
13228187,4427842681
13228187,2815898071
13228187,11675770
1469664217,1607386
1469664217,205216477
278524737,32475555
278524737,1397022502
3451120784,659788
3451120784,10305180061
49393480,49373107
49393480,1523894764
305249557,305249727
606377547,606377549
57744042,659809
57744042,1431043168
57744042,57744043
12428375,12428382
12428375,12428376
26866512,11675963
26866512,938929601
3072554421,3072554418
12117920,1607381
12117920,248738148
12117920,248739525
305249700,2752694861
305249700,305249351
325723546,255544830
597824932,4893025544
597824932,5047473961
55457278,54819670
55457278,82661790
276338896,1432780755
276338896,1457692062
1276537837,4802701903
1276537837,305412062
1276537837,1276536118
1396869619,1497238368
1396869619,2861851173
26414244,670995
26414244,4896173236
736979902,2413658311
736979902,3119447218
59612074,1139345132
59612074,59612075
59612074,16712016
671023,6368908343
671023,27688179
671023,1320523609
1230016431,333099190
1230016431,1230024565
4222238,8515209795
4222238,8515209797
4222238,147070210
389677,389678
389677,130253646
13260052,13259932
13260052,181478091
2496354326,43326203
2496354326,43326199
27398679,27398676
27398679,280123278
27398679,247176936
12867383,18896419
12867383,16056898
12867383,497075347
670950,96876598
670950,7015438929
670950,2371613112
243480949,243480948
243480949,26384730
243480949,301813621
901698,325720135
901698,2952674744
901698,25757763
6310866598,649296726
6310866598,6310866597
6310866598,19080386
6310866598,1423064479
32436421,32436427
32436421,3198747254
32436421,1528688230
1130327671,1358290508
1130327671,1496749460
1130327671,1130338700
46563731,255315673
46563731,671036
12428755,6303849
12428755,12428385
241003256,1432596811
241003256,42503290
272405930,28233414
272405930,28233334
12428410,3451159904
12428410,1396441238
12428410,26913023
12428410,733846501
2373976058,1430847084
2373976058,147086245
2373976058,2373975862
1396865247,659815
1396865247,1294005409
1396865247,133459033
247701137,4238353
247701137,32178622
247701137,4043161894
28850802,32434948
28850802,1432780892
28850802,1432780787
16054038,13128590
16054038,1261494718
2407384720,2407384745
389676,340862535
389676,130253642
389676,369213150
389676,49245967
15482563,15482562
54851186,12283739
54851186,12283738
1426821217,606191349
1426821217,613146316
1426821217,289889578
1426821217,297464679
4238407,307480507
4238407,32336047
4238407,2373587348
4238407,32336151
658464,26189923
658464,9101323
71225219,1396960579
71225219,12792674
5296502918,4864274282
5296502918,5296502917
5296502918,11675765
20627000,26866909
20627000,442727199
1442736,2865089339
1442736,389314
1442736,3452011304
1442736,2892088915
15855896,15855893
15855896,360406208
2375592345,28850709
2375592345,5167182788
2375592345,5167182786
12428431,12117945
12428431,1408484693
12428431,1396434747
389292,1396960579
389292,5029099782
389292,724160322
389292,3594514232
3260618602,389365
3260618602,540403070
3260618602,540403072
49373107,49373105
361221993,321836997
91538503,59802264
91538503,4206671229
1448444,652232936
1448444,1397022510
1448444,32475578
1448444,670982
1530041867,1530041887
1410014374,2389808000
1410014374,14957882
1410014374,2389807993
1410014374,7501823788
1095709440,26413733
1095709440,26413605
1095709440,5428518026
671005,2670213085
671005,2581825635
671005,2809688854
671005,32019250
11518167044,1423594539
11518167044,11518167038
135109528,26165090
135109528,9101656
135109528,135109534
357226099,357226098
357226099,336143240
355146341,1420144428
355146341,355146344
355146341,688693445
355146341,324343695
1497230537,659821
1497230537,1497243682
1497230537,1497230534
272391552,1139345104
272391552,3821313686
19080459,1420079620
19080459,380884386
32019360,2373794558
32019360,4210251305
32019360,2370760043
8515209634,8733023793
8515209634,320022997
1427047508,1427047486
1427047508,1427047541
196201412,901807
1497238368,308961143
1497238368,453175582
17648104,544457883
17648104,32176232
17648104,544457882
17648104,530287775
7995870236,18896129
7995870236,7995870240
7995870236,7995870235
1396454306,5029099782
1396454306,133459132
1396454306,3621522723
1396454306,511114288
7015624035,313712115
7015624035,446749000
7015624035,2465416044
7015624035,7015624039
43326284,2461880048
43326284,258075708
2370573226,2370573191
2370573226,389680
2370573226,26164989
26496430,26496429
1426048854,1426048871
1426048854,1426100476
1426048854,1426048839
2416518731,1426961451
2416518731,1426961644
1427047486,1427047467
4802701903,8936526690
1430847042,2488198610
1430847042,2789264781
1430847042,4196028854
658463,450659125
658463,564502838
658463,450711424
2418853345,1426960841
2418853345,36530380
2955929629,2955929609
147075601,196244405
147075601,13260050
147075601,196244378
11675796,1521661139
11675796,11675794
11675796,374552105
1396960579,267427738
1396960579,1396960574
59666590,638789821
12784893,1431043205
12784893,259573276
5593384415,273116329
5593384415,11611585345
612623536,612623553
612623536,2835039864
4238371,903978413
4238371,26914997
130245808,29400038
130245808,2370573191
130245808,130249419
323177783,654051846
323177783,658571
323177783,323177787
130234380,665694735
130234380,12649686
130234380,130234349
1448436,26912118
1448436,26911837
1448436,26165637
1422244191,1426962049
1422244191,2401303757
12640083,26913023
12640083,12640084
12640083,26912926
25757806,358414409
25757806,5869735394
25757806,2609552131
29396438,389678
29396438,32335995
29396438,252311731
29396438,32336030
3650706969,108008696
3650706969,12280637
3650706969,108019598
1426961451,1432780743
3124957094,365307071
5591654762,3452011304
5591654762,5591654764
5591654762,1426051374
358543459,32475493
358543459,358543487
358543459,32475512
658472,133357746
658472,27434872
658472,32335267
661497,11518167038
661497,1426960841
389339,442374639
389339,57744040
389339,32233860
846308369,846308294
846308369,11675480
846308369,846308301
389503,330928747
389503,240380197
389503,357226098
389503,1508507003
659815,26161118
659815,133457972
305255381,305255341
27398659,27398676
27398659,3380016794
36564922,11956065584
36564922,661328
36564922,4199183466
581596083,27417749
32334985,536794620
32334985,32471791
32334985,1260885026
12867290,12867287
606191348,606191349
606191348,606191343
8762813380,259151612
1499519378,1499519379
291661553,305245772
2815898053,2815898033
53463893,30979626
53463893,255237540
53463893,53464363
442727196,442727199
442727196,20447282
442727196,26765434
389462,9694573196
389462,3498127425
389462,241889612
565672574,259594799
170835371,1607389
170835371,170835348
301816289,1432780892
301816289,1432780896
472223536,453182881
12867448,12428369
12867448,1139344941
12867448,6313497341
12867448,28233327
32019322,2373794558
32019322,1410014011
32019322,364874977
12280693,12280690
12280693,242752195
5120232218,1417046294
5120232218,32525706
710547269,20447270
710547269,1415538921
710547269,131037388
710547269,12747826204
6304109,528733570
6304109,528733589
59816068,1308975832
59816068,560602904
59816068,59816058
2399564654,2399564659
2399564654,2386573296
2399564654,247694021
6310880579,6310866612
6310880579,6310880578
6310880579,703039281
32435532,301804347
11675225,333099179
11675225,4794416014
248018783,11675271
248018783,122548879
31931811,321876223
4426389554,335596132
4426389554,339324656
3977166162,712555667
3977166162,31054551
340862535,389685
31093609,60790688
671024,6368908343
671024,671027
389304,2374841813
389304,458897156
389304,2374841982
442374639,659807
442374639,659809
30979474,1267301412
30979474,30979529
30979474,90252277
912115780,1408679652
912115780,1426048890
559288532,5207211666
559288532,559288531
559288532,3451879903
4238353,9359491727
2488198610,583373279
256891511,31926600
256891511,688820863
256891511,256891509
117707333,4238390
117707333,5585532881
108008682,458225191
108008682,32435465
240088621,247691221
240088621,2537204251
3130235687,104517922
31015308,1527993
31015308,408487633
31015308,30977480
389703,317726060
389703,1420144383
137931323,335750448
137931323,335717620
20447276,20299837
20447276,20447275
671008,2581809749
671008,364874851
2661402209,96874576
2661402209,91595434
8066331593,27398684
8066331593,3727694905
12639664,1396858852
12639664,672383
12639664,10050840446
224035897,11289729948
224035897,1431043268
224035897,11289729968
255237548,60790688
14955950,9043911415
14955950,28237219
122500884,205172481
122500884,6045125936
4214979832,2789181648
4214979832,2789264781
4214979832,75681230
31936622,31936602
31936622,5753477076
661474,241029119
661474,243467350
5300250112,3451922932
5300250112,5300250111
11675266,3380016794
11675266,205172481
11675266,1469664224
11675266,247958816
528733733,528733737
13228204,9694573196
13228204,5109218209
13228204,241003240
11675273,1705644423
11675273,1432597489
11675273,4697250432
11675273,122500879
666731,51156127
666731,60955837
666731,51156103
666731,54859729
16157063,12246878
16157063,4238390
16157063,16157101
4009885977,8914657804
4009885977,26165090
4009885977,21620852
4009885977,9101552
442394468,3133124968
442394468,3133124965
442394468,2369340258
247176553,357225035
247176553,330928701
5243937614,321851723
77002043,54859727
77002043,60955956
1420114293,2745264347
1420114293,11181160946
791435871,791435878
791435871,133462791
659788,195865275
12792674,5297738717
12792674,1431043279
12792674,267427740
1267301412,30977317
26770318,111887507
26770318,2861851173
26770318,408487636
26770318,453175581
49249328,40130007
49249328,49249321
49249328,40121849
1410014052,1410014011
1410014052,361218703
3452333453,256892539
2401018415,12119416
2401018415,2401018412
2401018415,4860582754
12428435,1408484693
12428435,1008271001
12428435,1008270957
411503277,662925853
411503277,411193759
1410013998,1410013882
1410013998,1410014122
1410013998,2121574711
659804,659803
659804,133357746
659804,659802
32335097,32335099
32335097,5573794016
12280622,12280620
12280622,12280624
385560359,3133124968
385560359,1426048987
385560359,448020525
2784725491,60790659
2784725491,2784725492
2784725491,243643628
12283573,333097130
2576422879,130235976
2576422879,4970207208
2576422879,514897341
12639638,2476049230
12639638,6303942
12639638,262896731
1426048871,137905289
1426048871,666094759
187784968,11675301
187784968,2814548836
187784968,5497736664
91548742,2782942214
389332,26911837
389332,550879544
2425181630,389679
2425181630,559572093
11676194,18161320
11676194,11675265
108008696,12280625
13128590,6303849
13128590,15482783
342090115,4375856688
541012197,1449160924
541012197,26496191
642405023,662179
642405023,91709153
305306642,11661938748
305306642,1396858852
305306642,305306643
9836579988,31093638
9836579988,2907541391
12640060,12280671
12640060,1276534300
26389284,1432597567
26389284,26389279
7491277317,27398684
3664132465,1420456304
3664132465,1574285202
3664132465,2364287152
26189923,9101069
26189923,32335694
6072219371,374604093
6072219371,2940703842
12117928,131037743
12117928,249090702
12117928,1415548346
12117928,472767314
243480947,243480950
243480947,243480948
307478683,10709985869
307478683,307478689
32335403,254510279
32335403,32335290
32335403,32335404
15855893,4834790938
4238365,335750446
4238365,2399542209
4238365,2399542205
20447270,131034281
20447270,26161117
18896133,18896129
6071528315,5438601554
6071528315,1505722585
6071528315,3825229964
12280637,12280639
43314848,41169062
43314848,666681
3128331363,616033052
3128331363,1396434752
2380664141,130249415
26389432,11675276
26389432,26389457
26389432,12280683
75687004,90391644
75687004,14957898
75687004,75681356
659807,453482563
659807,11742085278
32436420,32436417
32436420,661280
32436420,32436418
2398342349,1422238142
2398342349,1432596811
2398342349,1422238157
659686,659687
659686,104519448
5286717172,3594434240
5286717172,267427738
5286717172,267427747
5286717172,132727767
3479287918,11675805
3479287918,42503598
10306668145,411503278
10306668145,3451159937
10306668145,411503273
147065693,2627563421
431398964,3613389046
431398964,31095520
431398964,27417887
12867434,6303962
12867434,12867315
1420119485,990221696
1420119485,1420118252
1420119485,4911674621
28256484,28244567
28256484,28256488
28256484,28251159
4696484881,32434961
4696484881,32434954
666331,335750448
666331,335717390
13128631,13128684
13128631,15413043
10815328206,438282879
10815328206,13128652
330928747,31094871
12119418,187780985
12119418,187780993
11661938748,305309020
11661938748,2705523726
32058269,712233927
32058269,1488933681
32058269,269170101
252816911,1431043267
252816911,2372759920
658476,688820837
658476,62044347
26866018,26865955
59816067,96869458
59816067,96842205
59816067,585345785
291661600,291661592
291661600,4892956246
1259427195,5419437478
1259427195,12284046
1259427195,1259427233
14957903,583373270
14957903,14957904
163026318,2423069970
163026318,301802142
359961948,364875186
359961948,364875190
359961948,364875194
91482803,11675288
91482803,661328
3452393377,3613389046
3452393377,31095534
3452393377,31095548
3451922932,3451922931
3451922932,3451922938
3451922932,3621526490
28243741,18896374
28243741,28243783
5438600007,297557863
135109495,135109491
25757797,359961874
25757797,4310052704
25757797,4043127489
7015043136,1422255761
7015043136,659822
7015043136,1426100627
7015043136,132727765
21620584,130159360
21620584,389681
255237722,255238267
255237722,249237426
247649070,247649812
247649070,60001730
32335103,32335099
32335103,32335104
32335103,2803154398
5099319590,5207211666
5099319590,57744040
5099319590,5099319588
389666,2383668108
389666,2383668119
389666,2383668117
389666,2383668112
389666,2383668109
1422238139,241029119
1422238139,1422244138
1422238139,7015280858
577470678,389279
577470678,26911362
12867384,11675200
12867384,18896419
1447301,1293998617
305240810,305240128
67397078,26389398
67397078,1432597452
7015213717,411503278
7015213717,26165955
11907019558,131037926
11907019558,13002273198
11907019558,11907019562
11675230,249200901
11675230,16711758
11675230,249200528
25757770,2035250504
25757770,181478127
25757770,196209830
305247750,305247746
130235976,130236108
130235976,26868613
333089817,344793159
333089817,665035432
333089817,2374841996
333089817,2363460184
1426048748,652232938
1426048748,4238426
1426048748,1958353675
32475486,339016289
32475486,2968714390
12382833167,249426901
12382833167,11510014394
12382833167,389501
1420144288,355146344
1420144288,10874072588
389372,131037926
389372,447600221
389372,131031234
688693293,688693314
688693293,277968659
11675194,28237219
11675194,2399747312
11675194,12428288
2379086595,12115509
2379086595,2379086735
11675220,11675206
11675220,6206014788
11675220,6206014790
389708,324343708
389708,9631320527
389708,472134567
389708,496282459
12639654,4020784909
12639654,18161345
12639654,4020797787
1607386,2722616612
11675717,16054037
11675717,12428374
11675189,11675190
11675189,13128604
11675189,11675192
31015134,314505123
31015134,456900226
31015134,457697507
696775774,339016289
696775774,170761417
5429845870,26413604
1397032513,544457883
1397032513,1426048782
1397032513,544460406
1397032513,615619599
32435520,3413104426
32435520,51604245
32435520,32435421
12301533428,358543488
12301533428,14957877
12301533428,12301533422
12301533428,12301533421
5166592132,1430847303
5166592132,1431043168
5166592132,1489245550
12905886497,8042994293
15852436,429347181
15852436,2435071620
15852436,2035264081
249193361,223777367
249193361,249193350
243643614,666333
243643614,666363
243643614,3731545508
202074305,1432597682
202074305,26389294
202074305,1530024719
28242702,28242673
28242702,659715
28242702,505195747
28242702,28242687
947981611,669501977
947981611,8487279671
10307572682,10305180061
10307572682,12400352698
10307572682,411566095
54819670,2373794546
54819670,2585066877
658583,97229920
658583,658579
658583,428957556
2389808000,4266245753
68422447,444691106
68422447,1426048809
308961143,256892539
308961143,31095534
659821,267427747
659821,132605700
659821,31015358
1573119435,389357
1573119435,1573119429
3895050826,273128876
13259932,13260050
13259932,2035250504
2387483495,9947407124
5207211666,1489245550
252322909,364875186
252322909,2992704545
252322909,1410014081
333099224,333099179
333099224,12867314
333099224,1230024644
133307292,130159360
133307292,2383668118
133307292,2876012640
4791105924,5312983589
8914657804,8914657805
31926998,330940459
31926998,1422227417
31926998,336143238
273128870,273128872
273128870,273128869
27417749,5267825612
27417749,4429994300
279042305,248773148
5167772734,244448522
5167772734,5167772731
5167772734,473746696
1294904418,20447282
1294904418,442727195
1294904418,442727194
1294904418,2522177388
1294904418,2522177394
12867311,333099189
12867311,3728390035
32435522,32436427
32435522,3413104426
32435522,3636667093
247649804,486924402
247649804,247649805
1294904417,20299837
240396199,243640579
240396199,11675791
241019410,241019321
241019410,3200050905
330940459,267594377
1260858724,264020616
1260858724,1426821214
32435517,661280
32435517,108008652
2389844211,659805
2389844211,133357746
291661602,623809991
291661602,291661603
291661602,291661822
241772752,241772758
241772752,241776026
241772752,241775050
2377743870,3559708818
5597784482,5597784479
5597784482,5597784474
11675757,12428424
11675757,1484699984
11675757,1396426597
26914400,26914401
26914400,19227340
26914400,19227345
305255653,305255539
1139345104,1139344941
1139345104,1139344926
291661251,291661210
32335116,2461937011
32335116,2461937030
11675504,1358290508
11675504,59612076
249183582,690284076
12430755,13128684
12430755,15871587
12430755,12428830
32434948,32434952
32434948,301809188
1447308,1527993
1447308,1422255761
1447308,1426100629
31936602,3498127420
31936602,12409044961
1265025671,1607389
1265025671,8919784186
31015139,31054586
31015139,31015140
32334978,662179
32334978,32334980
32334978,31014742
111887507,2685561284
111887507,8042994293
968108527,187761439
14653167,13128604
14653167,15413054
14653167,15413110
1426100476,746555633
1426100476,912115838
11675543,19080512
11675543,249245064
11675543,2375495200
11675543,12280641
28257211,240380197
28257211,321859890
3594434240,724160322
86181660,1487186168
659706,18896386
659706,659707
659706,509900643
26756133,659784
26756133,411503265
267425322,12649666
267425322,267594377
266381464,12867373
266381464,266381452
32336034,96888350
32336034,665035410
32336034,665043720
32336034,4229444344
1813017056,1813017088
1813017056,4781980869
1813017056,12118463
1813017056,1130327506
666729,975699524
666729,560602854
50881047,324345974
50881047,389710
50881047,50881063
26496178,26496184
26496178,26496189
11675496,649296726
11675496,606377550
11675496,266993459
43314838,247391337
43314838,137801127
243643704,258075612
27688220,27688214
27688220,1420123197
249752706,240396893
249752706,249752685
196222371,5170614842
196222371,5170614823
196222371,196222363
49373102,49373100
49373102,249753348
565672558,565672573
565672558,665777
565672558,488189819
26914918,26914912
26914918,2893532826
26914918,666347
11522103075,11675288
11522103075,661259
11522103075,11522103071
170789284,1426048988
170789284,2406953463
170789284,1426049006
170789284,1420459585
258075612,259151611
1422244146,3646191111
1422244146,1422244149
1422244146,1422244145
3451159904,3451159906
3451159904,344558580
26913464,26914099
26913464,26914227
26913464,10078568144
1293990890,598497534
1293990890,467141367
249200901,266998021
298543130,298543066
28256538,28256490
28256538,28257109
28256538,1506481640
659803,32334797
659803,662184
12284691,12284693
12284691,296891664
1426961969,26413718
1426961969,241772758
1426961969,1426961906
389279,659784
31936571,709714032
31936571,9021341548
31936571,244443900
2789181647,25973619
2789181647,1410012798
662179,91709176
662179,2876012720
241020822,241019348
47212118,313712115
47212118,5167945482
47212118,313713115
8589759536,8589760517
389620,1419534541
389620,11289729948
389620,1431043285
32335109,32335104
32335109,256891653
32335109,277968642
638789813,638789821
9100868,9101069
9100868,59702517
9100868,9100863
9100868,9100869
1431043205,746009497
1431043205,7015777187
97229759,688820837
97229759,302202800
97229759,658495
2372323798,18906120
2372323798,11675260
5121021325,12233671284
240407604,2423191789
240407604,2423069895
240407604,3804028805
240407604,11675798
187658886,6045125913
187658886,4358636075
187658886,26389860
240088633,240088639
240088633,26759862
240088633,8919784186
4956602392,3613389046
335596132,4426389556
666679,666678
666679,4067634238
666679,258075677
4939797800,305240561
4426389547,4426389561
4426389547,4426389563
4426389547,247857969
196244405,15856026
364875071,364875072
11675212,281261254
11675212,13128643
11675212,11675216
5419437478,1463110326
5419437478,9950967022
5419437478,298536133
330300876,247857981
2865089339,1396960574
1419534541,3133124965
2789181648,2788377446
2789181648,1410013058
254510279,257944592
324343708,343103107
248738146,248773148
248738146,1430466400
12492534980,9836579983
659799,1430847303
659799,659802
659799,32334797
29400040,29400038
29400040,32335995
29400040,59702517
267888914,7941635754
267888914,267888923
32436417,3198747254
32436417,3198747218
365307094,365307093
1430521504,6378829642
1430521504,5396467485
1430521504,205216477
3594514235,3594514232
3594514235,3621522727
3594514235,1396489769
28850804,1432780896
28850804,2438127956
108019634,108019598
1426100669,1346901
2397311050,2397311044
2397311050,517392367
5543790701,19080521
5267825612,2685561284
5267825612,566889788
389632,26914227
389632,26913606
389632,666354
247957592,59665169
247957592,174745272
1430847303,2397311044
32335005,32335006
32335005,91709193
2627563421,171503601
1513152857,1432597682
1513152857,1998649733
1513152857,1432597695
32334980,536794620
2468942558,2468942564
2468942558,248662985
389357,248662983
389357,9964901732
15852429,192310421
62102422,31093638
62102422,30979189
62102422,2761886844
94597780,94597791
434149497,26912398
659687,133479901
659687,2838062656
659687,133493835
11675241,4021163818
11675241,11675243
11675241,249188607
11675241,249188575
12428369,12428371
4238370,903978413
4238370,26914912
4238370,15852592
359961874,192317791
6303849,15871577
4238433,612623553
4238433,147086255
4238433,26414370
91595432,96869458
91595432,564987441
91595432,96869471
26867851,892465526
26867851,411503293
841754281,298908463
841754281,2722616612
841754281,122501008
841754281,5396061603
11675200,12428292
2374841854,2374841813
2374841854,458897155
450656588,665794
450656588,665818
1415539792,659695
1415539792,11642896042
58675496,344665742
389281,26165090
389281,135109542
389281,2384200130
4315710336,12117942
4315710336,104517937
597818545,374604093
597818545,19223251
336167572,336167601
12428355,1420079620
12428355,614445799
12428355,19080452
15853046,15853047
15853046,4043121784
12428352,12428353
12428352,1684601164
28257132,28257138
28257132,28257129
2955929597,2955929606
612623535,1430847084
612623535,147086255
181310547,181310323
130236108,11228869558
240388664,1422238157
240388664,1972196336
11675288,243485067
12284046,267001617
247322621,10095474102
247322621,27398703
247322621,247322620
1419098342,1415542335
1419098342,467744896
1419098342,248981469
1419098342,1267467156
2761886769,68384553
2761886769,428957584
54823298,1320523597
54823298,4208698709
54823298,4208698712
3585952599,1573119421
3585952599,1574285185
3585952599,26912410
3585952599,1420455242
389667,130157168
389667,133307283
560602858,500277508
560602858,657357
560602858,560602856
1607381,479669465
1607381,28230442
12246878,657346
12246878,18378306
26765400,26765434
26765400,442727195
26765400,28246359
7503377627,7503377629
12115509,19227348
12115509,666349
12115509,12784892
527838244,249245092
4781980869,1813017022
659695,26867093
26765341,26765492
26765341,28244366
26765341,32529244
11853391,255544830
11853391,11854160
671007,2581825635
671007,364874778
671007,246663287
255544830,325720135
26389398,10807129105
661455,241019339
13228193,4427843392
13228193,3485778226
389711,50881053
389711,324380070
60793454,688820703
60793454,60790654
60793454,2784717512
5029099782,2892088915
15852300,1284630805
15852300,364874849
389679,337429610
389679,59979737
659805,11742085278
659805,6141082777
1410013882,2788377446
1410013882,1410013824
2498303858,6141082777
414606481,50877757
670957,684995633
670957,15852565
670957,59802238
2455590523,389713
298543126,298543127
11675387,133479901
11675387,18378355
7503974617,4935194551
2407371311,12117595
2407371311,2407395083
541012211,1449160924
541012211,28230676
305240561,295516526
305240561,305240608
97229925,97229920
97229925,97229796
12639615,333097134
12639615,528721720
12639615,528733665
3500317267,336142150
3500317267,245548565
26413739,241775025
26413739,26413733
26413739,241019321
244448522,244448589
657360,665849
657360,560602947
657360,563987490
670995,671003
4238406,307480507
4238406,2389808020
4238406,918295982
4238406,2389808014
2670213085,364874757
709714032,1717836062
666674,800942811
666674,2375609782
666674,666683
130253642,130253646
2754160005,223777367
2754160005,2375515829
8613842649,4002584843
8613842649,26756094
8613842649,2376495630
666360,450659125
666360,666355
666360,54845154
301833903,301833881
32336196,4426389561
32336196,4452301327
1426100691,659822
1426100691,2369298322
1426100691,2369298318
552390280,11675249
552390280,295216148
